id,slug,name,normalized_name,type,dedicated_page,label,is_booster,top_partner,highlight,country_year,partnership_type,partnership_status,short_desc,hall,stand,presence,country,image_url,sectors,themes,tags,fundraising
d00550bf-c53c-f111-8ef2-6045bd954320,robocc,Rob'Occ,robocc,startup,True,,False,False,False,False,startupexposant,startup_partners,,,2B61-023,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/9f7dcab9-0cdc-4155-9a62-386097f82f3a,Industry/Manufacturing/Supply Chain/Logistics,,Artificial Intelligence & Robotics | Sovereignty & GovTech | Industry & Supply Chain,Seed - $1M - $5M
783174c1-5249-f111-8ef3-6045bd9548dc,robeaute,Robeauté,robeaute,startup,True,,False,False,False,False,startupnonexposant,startup_partners,,,,online,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/a52cebbc-8b47-4f4c-b540-ed8f319c354a,DeepTech/R&D,Tech Beyond the Obvious,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness,Seed - $1M - $5M | Series A - $5M - $15M
ddecd266-9d59-f111-8fcb-6045bd954326,robestos-technologies,Robestos Technologies,robestos technologies,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1B22-010,hybrid,Zimbabwe,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/064d0c66-2ce3-43aa-8776-b820bb5d321d,GreenTech/Sustainability,,Healthcare & Wellness | Industry & Supply Chain | Growth & Startup & Investment,Bootstrapped - 0
d714fbc7-4549-f111-8ef3-6045bd9548dc,robo-educational-and-research-robotics-ltd,Robo Educational and Research Robotics Ltd,robo educational research robotics,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3J40-001,hybrid,Cyprus,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/960c7260-90ba-45f8-bb09-440c547f0814,HRTech/HR/EdTech/Education,,DeepTech | Artificial Intelligence & Robotics | HR & EdTech & Future of Work,Not yet - 0
0fb9e4ed-2233-f111-8ef2-6045bd954320,robocore-technology-limited,Robocore Technology Limited,robocore technology,startup,True,,False,False,False,False,startupexposant,startup_partners,,,1C11-022,hybrid,Hong Kong,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/40b0d4ee-146d-4d7e-9a75-ccb265023659,DeepTech/R&D,,DeepTech,Series C - $50M - $200M
9deaf379-2a60-f111-8fcb-6045bd954326,robodost,Robodost,robodost,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1A04-002,hybrid,Spain,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/880df850-5c8f-48a1-b15c-b4991e9a7dd3,CPG/Retail/E-Commerce,,Retail & E-commerce | Artificial Intelligence & Robotics | Growth & Startup & Investment,
4f60051b-b34e-f111-8ef3-6045bd9548dc,robotwareai-co-ltd,"Robotwareai Co., Ltd.",robotwareai,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1B37-006,hybrid,South Korea,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/5119319f-f299-44d1-a12b-d30264bf83de,AI & Big Data,,Artificial Intelligence & Robotics | Food & Agriculture | Growth & Startup & Investment,Not yet - 0
374eab2d-9344-f111-8ef2-6045bd954320,rofim,Rofim,rofim,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D16-051,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/129df44f-34d5-4790-ba68-86624e21a02c,HealthTech/Healthcare/BioTech,,Healthcare & Wellness | Artificial Intelligence & Robotics,
25666532-7244-f111-8ef2-6045bd954320,rogo,Rogo,rogo,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D10-010,hybrid,United States of America,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/f389a4ea-4fec-443c-bbcb-02dfbecc4d37,FinTech/Banking/Finance,,Fintech & Banking & Compliance | Artificial Intelligence & Robotics | Consulting & B2B services,
e9a4d5da-264a-f111-8ef3-6045bd9548dc,rogsilt,Rogsilt,rogsilt,partner,True,,False,False,False,False,partenaireexposant,sponsor_partners,,pavillon7,3E14,hybrid,Germany,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/d9b8b0e0-eb9f-474e-8c78-1d3219c5db9a,DeepTech/R&D,,Diversity & Inclusion | Artificial Intelligence & Robotics | DeepTech,
2c0c69c0-7744-f111-8ef2-6045bd954320,rohlik-group,Rohlik Group,rohlik,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3J46-003,hybrid,Czech Republic,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/9e5249b3-c674-4af5-8ab6-aaa851c86f0b,FoodTech/Food/Beverage,,Artificial Intelligence & Robotics | Retail & E-commerce | DeepTech,Series C - $50M - $200M
7a4fce38-cd4e-f111-8ef3-6045bd9548dc,rokid,Rokid,rokid,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1B38-002,hybrid,China,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/8935a174-ab1a-4f10-be56-009ecfbce7bf,DeepTech/R&D,,DeepTech | Retail & E-commerce | Marketing & Advertising,
e49dbdcb-9a4e-f111-8ef3-6045bd9548dc,roland-berger,Roland Berger,roland berger,partner,True,,False,False,False,False,partenairenonexposant,smp_partners,,pavillon7,,hybrid,Germany,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/ae2bbfa0-b5de-4b8d-a7a8-dfe6aeda7159,Consulting,,Consulting & B2B services | Sovereignty & GovTech,
236f32c0-985e-f111-8fcb-6045bd954326,rp-au-carre,Rp au Carré,rp au carre,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2B59-016,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/a63a2e82-7f8b-412d-a607-5dff4822855a,Consulting,,Artificial Intelligence & Robotics | Gaming & Sports & Esports | Marketing & Advertising,
e8aaa85b-6d4f-f111-8ef3-6045bd9548dc,rs-research,Rs Research,rs research,startup,True,techforchange,False,False,False,False,startupexposant,startup_partners,,pavillon7,3H35-010,hybrid,Turkey,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/f6bb6082-2d53-4a21-82d2-15687efe38e4,HealthTech/Healthcare/BioTech,,DeepTech | Growth & Startup & Investment | Healthcare & Wellness,Series A - $5M - $15M
2825e956-2137-f111-8ef2-6045bd954320,rulemapping-group-gmbh,Rulemapping Group Gmbh,rulemapping,startup,True,,False,False,False,False,startupexposant,startup_partners,,,3F29-123,hybrid,Germany,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/e9bd1df7-be33-49b1-9230-a08f4080ff73,LegalTech/Legal,,Fintech & Banking & Compliance | Consulting & B2B services | Sovereignty & GovTech,Seed - $1M - $5M
179ec573-b532-f111-8ef2-6045bd954320,runpod,Runpod,runpod,partner,True,,False,False,False,False,partenaireexposant,smp_partners,,pavillon7,1B01,hybrid,United States of America,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/dd295a18-df18-493b-a057-aac477a74b56,Cloud Services,,Cloud & Infrastructure & Connectivity | Artificial Intelligence & Robotics | Growth & Startup & Investment,
d3997e3e-b82a-f111-9a49-6045bd9541be,rwanda,Rwanda,rwanda,partner,True,,False,False,False,False,partenaireexposant,territories_partners,,pavillon7,1B27,hybrid,Rwanda,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/d728dd61-7420-4311-844b-bb4bca264d8d,Government/Public institutions,,Artificial Intelligence & Robotics | Growth & Startup & Investment | Sovereignty & GovTech | DeepTech,
7f85bfa4-ed55-f111-8fcb-6045bd954326,rwanda-global-business-services,Rwanda Global Business Services,rwanda business services,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1B27-009,hybrid,Rwanda,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/786efc78-fb72-4d97-9da0-465183affcba,Consulting,,Cloud & Infrastructure & Connectivity | Consulting & B2B services | Growth & Startup & Investment,
20326e18-493e-f111-8ef2-6045bd954320,s-nation,S-Nation,s nation,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1C39-009,hybrid,South Korea,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/667ac446-8029-4524-99eb-8eabb1700ab1,Industry/Manufacturing/Supply Chain/Logistics,,Luxury & Fashion & Cosmetics | Healthcare & Wellness,Bootstrapped - 0
c8dbbcb8-374a-f111-8ef3-6045bd9548dc,saarland,Saarland,saarland,partner,True,,False,False,False,False,partenaireexposant,sponsor_partners,,pavillon7,3F29,hybrid,Germany,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/8e55e06d-8dc9-4b7a-a2a1-7ca41c2e1d02,Government/Public institutions,,Artificial Intelligence & Robotics | Energy & Greentech | Industry & Supply Chain,
6464879a-0243-f111-8ef2-6045bd954320,safenai,Safenai,safenai,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3H19-013,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/210ffd98-dfe9-43e9-91e7-9104c3c88f4a,AI & Big Data,,Industry & Supply Chain | Cybersecurity & Defense | DeepTech,Not yet - 0
bff6c123-2333-f111-8ef2-6045bd954320,sagadigits-limited,Sagadigits Limited,sagadigits,startup,True,,False,False,False,False,startupexposant,startup_partners,,,1C11-021,hybrid,Hong Kong,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/eb21bfac-2f95-4e5a-a44e-b6d457351cd6,AI & Big Data,Future of Work,Artificial Intelligence & Robotics | HR & EdTech & Future of Work | Mobility & Smart Cities,
f5ab3776-4849-f111-8ef3-6045bd9548dc,sagri-co-ltd,"Sagri Co., Ltd",sagri,startup,True,techforchange,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D09-025,hybrid,Japan,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/fb5a1c3e-b5a7-41a9-8b0b-fb16c4cecc30,GreenTech/Sustainability,,Food & Agriculture | Space & Aeronautics | Growth & Startup & Investment,Series A - $5M - $15M
