id,slug,firstname,lastname,full_name,company,normalized_company,company_candidates,job_title,image_url,has_bio,has_sessions,tags,top,top_order
18c88089-a84e-f111-8ef3-6045bd9548dc,tom-threard-managing-director,Tom,Thréard,Tom Thréard,Eskimoz,eskimoz,eskimoz,Managing Director,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/74748d33-f393-4974-af4a-e529fad54df9,True,True,Artificial Intelligence & Robotics | Consulting & B2B services | Marketing & Advertising,False,10000
a1dcaa3c-575f-f111-8fcb-6045bd954326,faustine-tiezzi-directrice-des-operations,Faustine,Tiezzi,Faustine Tiezzi,Make.org Foundation ,make org foundation,make org foundation,Directrice des Opérations,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/55e37cd7-0a19-4c9f-a512-b176c5945fec,False,True,,False,10000
d2f01e31-62bc-4bde-bbf4-d7d732a4ace3,henri-tilloy-partner,Henri,Tilloy,Henri Tilloy,Singular,singular,singular,Partner,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/ea65ccd5-769f-4124-a270-6241881e9c39,True,True,Cloud & Infrastructure & Connectivity | Cybersecurity & Defense,False,10000
c37a5540-b668-f111-8fcb-6045bd954326,ida-tin-co-founder,Ida,Tin,Ida Tin,Clue,clue,clue,Co-Founder,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/ff6f90f0-e3c3-4a90-bd77-533c7e71caf3,False,True,,False,10000
2f1ece29-db4d-f111-8ef3-6045bd9548dc,christophe-tincelin-cfo-founder,Christophe,Tincelin,Christophe Tincelin,ONE BOARD,one board,one board,CFO & founder,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/a870829e-5f3f-4d30-a2c6-3b18ccc6d3d3,True,True,Growth & Startup & Investment | Mobility & Smart Cities | Fintech & Banking & Compliance,False,10000
09144608-2b5f-f111-8fcb-6045bd954326,albert-tissot-european-project-manager,Albert,TISSOT,Albert TISSOT,PAL ROBOTICS,pal robotics,pal robotics,European Project Manager,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/9492866e-4230-432b-acd7-7b7b32d942fc,True,True,Artificial Intelligence & Robotics,False,10000
880ba483-e960-f111-8fcb-6045bd954326,christall-tobossi-sustainable-it-expert-project-manager,Christ'All,Tobossi,Christ'All Tobossi,Christ'All Tobossi,christall tobossi,christall tobossi,Sustainable IT expert / project manager,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/99f9ea52-e488-4d14-9186-218b34caf858,False,True,,False,10000
a14f9495-556a-f111-8fcb-6045bd9543bb,sebastiano-toffaletti-secretary-general,Sebastiano,Toffaletti,Sebastiano Toffaletti,"European DIGITAL SME Alliance,  Co-founder of the EuroStack movement",european digital sme alliance founder of the eurostack movement,european digital sme alliance founder of the eurostack movement | european digital sme alliance | founder of the eurostack movement,Secretary General,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/ab7a5b72-65db-48f8-9c72-0d63ee3debb1,False,False,,False,10000
31208187-6f20-4989-a3dd-95d72a14ba43,linda-tong-ceo,Linda,Tong,Linda Tong,Webflow,webflow,webflow,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/8196fa8d-8449-4786-b4b5-d33cea577c8c,True,True,Artificial Intelligence & Robotics | Marketing & Advertising | Growth & Startup & Investment,False,10000
e0342f78-2363-f111-8fcb-6045bd954326,serra-topal-ismail-oglou-chief-financial-officer,Serra,Topal Ismail Oglou,Serra Topal Ismail Oglou,Xatoms,xatoms,xatoms,Chief Financial Officer,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/f7df7502-0d6f-4b67-adfa-e7d4fd4fdca7,True,True,DeepTech | Artificial Intelligence & Robotics | Energy & Greentech,False,10000
