entity_id,entity_type,display_name,query,context_json
company_5bfd84b420298d1a3eb0,company,Gwenlake,"site:vivatech.com/exhibitors ""Gwenlake"" VivaTech gwenlake","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""94e648e0-a34c-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Consulting & B2B services | DeepTech""}"
company_1be5b359b94931d31f59,company,Gwilen,"site:vivatech.com/exhibitors ""Gwilen"" VivaTech gwilen","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""6e34f954-d152-f111-8fcb-6045bd954326"", ""tags"": ""Energy & Greentech | Industry & Supply Chain | DeepTech""}"
company_78a301f37eb0a9dc840d,company,Gynger,"site:vivatech.com/exhibitors ""Gynger"" VivaTech gynger","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""f46d3345-dc58-f111-8fcb-6045bd954326"", ""tags"": ""Diversity & Inclusion | HR & EdTech & Future of Work | Healthcare & Wellness""}"
company_4a31be6c9feff00f8d3a,company,H Company,"site:vivatech.com/exhibitors ""H Company"" VivaTech h-company","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Series C - $50M - $200M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""4e90cee4-4042-f111-8ef2-6045bd954320"", ""tags"": ""Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Retail & E-commerce""}"
company_1143bb6c56cd9a626508,company,H Company,"site:vivatech.com/exhibitors ""H Company"" VivaTech h-company-2","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Series C - $50M - $200M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""940f481f-bc55-f111-8fcb-6045bd954326"", ""tags"": ""Fintech & Banking & Compliance | Retail & E-commerce | Artificial Intelligence & Robotics""}"
company_c97c12c32611e9288f57,company,H Company,"site:vivatech.com/exhibitors ""H Company"" VivaTech h-company-4","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Series C - $50M - $200M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""a224544d-765a-f111-8fcb-6045bd954326"", ""tags"": ""Artificial Intelligence & Robotics | Consulting & B2B services | Retail & E-commerce""}"
company_48eba9e0327b5c3507e7,company,H Company,"site:vivatech.com/exhibitors ""H Company"" VivaTech h-company-5","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Series C - $50M - $200M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""614665c5-5f49-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Retail & E-commerce""}"
company_f5f5afb37b3cf0629524,company,H Company,"site:vivatech.com/exhibitors ""H Company"" VivaTech h-company-3","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Series C - $50M - $200M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""9cf50300-f255-f111-8fcb-6045bd954326"", ""tags"": ""Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Retail & E-commerce""}"
company_b3cf447bf5185531277a,company,H+h Labs Psa,"site:vivatech.com/exhibitors ""H+h Labs Psa"" VivaTech hh-labs-psa","{""company_type"": ""startup"", ""country"": ""Poland"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""263d6163-1342-f111-8ef2-6045bd954320"", ""tags"": ""DeepTech | Industry & Supply Chain | Energy & Greentech""}"
company_d594218acc0f0828269b,company,H24 Care,"site:vivatech.com/exhibitors ""H24 Care"" VivaTech h24-care","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""da078b51-975a-f111-8fcb-6045bd954326"", ""tags"": ""Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness""}"
company_bad905f43ef7ea47493e,company,H2all,"site:vivatech.com/exhibitors ""H2all"" VivaTech h2all","{""company_type"": ""startup"", ""country"": ""Germany"", ""fundraising"": ""Bootstrapped - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""ede8083e-a735-f111-8ef2-6045bd954320"", ""tags"": ""Consulting & B2B services | Energy & Greentech | Growth & Startup & Investment""}"
company_07a9cd91a0ba8f54b403,company,Hability,"site:vivatech.com/exhibitors ""Hability"" VivaTech hability","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Seed - $1M - $5M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""6abbb3d1-4042-f111-8ef2-6045bd954320"", ""tags"": ""Healthcare & Wellness | Growth & Startup & Investment""}"
company_f483862e03b5ba74d88d,company,Habs,"site:vivatech.com/exhibitors ""Habs"" VivaTech habs","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""417a5bc3-d92a-f111-9a49-6045bd9541be"", ""tags"": ""Artificial Intelligence & Robotics | DeepTech | Marketing & Advertising""}"
company_7664e10a63e45769f4fe,company,Habs,"site:vivatech.com/exhibitors ""Habs"" VivaTech habs-2","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Seed - $1M - $5M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""228fef43-9a40-f111-8ef2-6045bd954320"", ""tags"": ""Marketing & Advertising | Media & Entertainment & Creators Economy | Retail & E-commerce""}"
company_7c15072149acfbf81812,company,Hado,"site:vivatech.com/exhibitors ""Hado"" VivaTech hado","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""834fce38-cd4e-f111-8ef3-6045bd9548dc"", ""tags"": ""DeepTech | Luxury & Fashion & Cosmetics | Retail & E-commerce""}"
company_8af27e35078e2d68e551,company,Hamburg,"site:vivatech.com/exhibitors ""Hamburg"" VivaTech hamburg","{""company_type"": ""partner"", ""country"": ""Germany"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""90dbbcb8-374a-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | DeepTech | Industry & Supply Chain""}"
company_37e428735f37ad02d9eb,company,Handicap International,"site:vivatech.com/exhibitors ""Handicap International"" VivaTech handicap-international","{""company_type"": ""partner"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""3e3aea82-b653-f111-8fcb-6045bd954326"", ""tags"": ""Diversity & Inclusion | Healthcare & Wellness""}"
company_e1e7408cf4fe4c7cdc7e,company,Handivisible,"site:vivatech.com/exhibitors ""Handivisible"" VivaTech handivisible","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""bec99660-f24d-f111-8ef3-6045bd9548dc"", ""tags"": ""Consulting & B2B services | Diversity & Inclusion | Healthcare & Wellness""}"
company_2bc0d84ee9c62808c03b,company,Hanga Hubs,"site:vivatech.com/exhibitors ""Hanga Hubs"" VivaTech hanga-hubs","{""company_type"": ""startup"", ""country"": ""Rwanda"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""041976ad-d94d-f111-8ef3-6045bd9548dc"", ""tags"": ""Fintech & Banking & Compliance | Growth & Startup & Investment | Sovereignty & GovTech""}"
company_3cd9e6d46ce0ee9ba7b4,company,Hangzhou Digital Trade Exhibition Pavilion,"site:vivatech.com/exhibitors ""Hangzhou Digital Trade Exhibition Pavilion"" VivaTech hangzhou-digital-trade-exhibition-pavilion","{""company_type"": ""partner"", ""country"": ""China"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""089f0b1a-044e-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Sovereignty & GovTech | Mobility & Smart Cities | Cloud & Infrastructure & Connectivity""}"
company_f43f8fe852f6dd718bc1,company,"Hangzhou Hikstorage Technology Co., Ltd.","site:vivatech.com/exhibitors ""Hangzhou Hikstorage Technology Co., Ltd."" VivaTech hangzhou-hikstorage-technology-co-ltd","{""company_type"": ""startup"", ""country"": ""China"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""47da76e9-e657-f111-8fcb-6045bd954326"", ""tags"": ""Gaming & Sports & Esports | Industry & Supply Chain | Cloud & Infrastructure & Connectivity""}"
company_2f9eaa7a6048b73b97ae,company,"Hangzhou Logical Qubit Technology Co., Ltd.","site:vivatech.com/exhibitors ""Hangzhou Logical Qubit Technology Co., Ltd."" VivaTech hangzhou-logical-qubit-technology-co-ltd","{""company_type"": ""startup"", ""country"": ""China"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""bfcc1df8-e657-f111-8fcb-6045bd954326"", ""tags"": ""DeepTech | Cloud & Infrastructure & Connectivity""}"
company_a24cb19314ccd1eb3aa8,company,Hanyang Institute For Entrepreneurship(hie),"site:vivatech.com/exhibitors ""Hanyang Institute For Entrepreneurship(hie)"" VivaTech hanyang-institute-for-entrepreneurshiphie","{""company_type"": ""partner"", ""country"": ""korearepublicof"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""934040f0-4c49-f111-8ef3-6045bd9548dc"", ""tags"": ""Industry & Supply Chain | Healthcare & Wellness | Mobility & Smart Cities""}"
company_b49d2c7f1482d979ed9c,company,Happlyz Medical,"site:vivatech.com/exhibitors ""Happlyz Medical"" VivaTech happlyz-medical","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""1cf6d38b-de4d-f111-8ef3-6045bd9548dc"", ""tags"": ""Healthcare & Wellness | Growth & Startup & Investment | Artificial Intelligence & Robotics""}"
company_0530c91e0e246a21e8ce,company,Happydarons,"site:vivatech.com/exhibitors ""Happydarons"" VivaTech happydarons","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""a52f3325-a05e-f111-8fcb-6045bd954326"", ""tags"": ""HR & EdTech & Future of Work | Healthcare & Wellness | Artificial Intelligence & Robotics""}"
company_8a309116d3d87de0c1dc,company,Happykids.ai,"site:vivatech.com/exhibitors ""Happykids.ai"" VivaTech happykidsai","{""company_type"": ""startup"", ""country"": ""Luxembourg"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""404d448d-c837-f111-8ef2-6045bd954320"", ""tags"": ""HR & EdTech & Future of Work | Healthcare & Wellness | Diversity & Inclusion""}"
company_408c9090ad181396e2d0,company,Hâpy Services,"site:vivatech.com/exhibitors ""Hâpy Services"" VivaTech hapy-services","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""84293e15-9747-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Energy & Greentech | Mobility & Smart Cities""}"
company_ace2065122881af701fe,company,Harmoneyz,"site:vivatech.com/exhibitors ""Harmoneyz"" VivaTech harmoneyz","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""f1eb74c0-8148-f111-8ef3-6045bd9548dc"", ""tags"": ""Media & Entertainment & Creators Economy | Marketing & Advertising | Growth & Startup & Investment""}"
company_e689ced4938beb5e6ce3,company,Harmony SkyTech Limited,"site:vivatech.com/exhibitors ""Harmony SkyTech Limited"" VivaTech harmony-skytech-limited","{""company_type"": ""startup"", ""country"": ""Hong Kong"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""f2ef0e08-2233-f111-8ef2-6045bd954320"", ""tags"": ""Artificial Intelligence & Robotics | Consulting & B2B services | Mobility & Smart Cities""}"
company_09e33f8b83b2019e58ee,company,Haut.ai,"site:vivatech.com/exhibitors ""Haut.ai"" VivaTech hautai","{""company_type"": ""startup"", ""country"": ""Estonia"", ""fundraising"": ""Seed - $1M - $5M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""a05f95a8-ba47-f111-8ef3-6045bd9548dc"", ""tags"": ""Artificial Intelligence & Robotics | Healthcare & Wellness | Retail & E-commerce""}"
